table,category,FXY1,FXY2,note (github),notation (manual),note (manual),note applies to,my comment
BUFR,09,309070,007004,(see Note 9),9,"Non-surface levels on the model’s native vertical coordinate are transposed to pressure coordinate. This makes the levels more readily intelligible for human interpretation and easier to use by generic display applications. The levels may correspond exactly to native model levels, or be interpolated between modellevels to pressure levels chosen by the generating centre.",element,
BUFR,09,309030,n/a,n/a,1,Sequence 3 09 030 is deprecated because of incorrect usage of descriptor 0 04 015; sequence 3 09 031 should be used instead.,element,
BUFR,09,309040,n/a,n/a,2,"This sequence is deprecated because it includes deprecated sequence 3 09 030; sequence 3 09 045,3 09 046, 3 09 047, 3 09 048 and 3 09 049 should be used instead of 3 09 040, 3 09 041, 3 09 042, 3 09 043 and 3 09 044, respectively.",element,
BUFR,09,309041,n/a,n/a,2,"This sequence is deprecated because it includes deprecated sequence 3 09 030; sequence 3 09 045,3 09 046, 3 09 047, 3 09 048 and 3 09 049 should be used instead of 3 09 040, 3 09 041, 3 09 042, 3 09 043 and 3 09 044, respectively.",element,
BUFR,09,309042,n/a,n/a,2,"This sequence is deprecated because it includes deprecated sequence 3 09 030; sequence 3 09 045,3 09 046, 3 09 047, 3 09 048 and 3 09 049 should be used instead of 3 09 040, 3 09 041, 3 09 042, 3 09 043 and 3 09 044, respectively.",element,
BUFR,09,309043,n/a,n/a,2,"This sequence is deprecated because it includes deprecated sequence 3 09 030; sequence 3 09 045,3 09 046, 3 09 047, 3 09 048 and 3 09 049 should be used instead of 3 09 040, 3 09 041, 3 09 042, 3 09 043 and 3 09 044, respectively.",element,
BUFR,09,309044,n/a,n/a,2,"This sequence is deprecated because it includes deprecated sequence 3 09 030; sequence 3 09 045,3 09 046, 3 09 047, 3 09 048 and 3 09 049 should be used instead of 3 09 040, 3 09 041, 3 09 042, 3 09 043 and 3 09 044, respectively.",element,
BUFR,09,309056,301113,(see Note 10)	,10,Date/time of launch indicates date/time of start of descent measurement.,element,
BUFR,09,309056,303056,(see Notes 11 and 12),11,"In this sequence for representation of radiosonde descent data, indication of standard levels using the extended vertical sounding significance (0 08 042) is not mandatory.",element,
BUFR,09,309056,303056,(see Notes 11 and 12),12,Data represented by this sequence should be sorted in descending order with respect to pressure.,element,
BUFR,10,310027,n/a,n/a,1,3 10 027 is deprecated.,element,
BUFR,10,310067,1033,(see Note 2),2,"In the context of 3 10 067, pressure values which immediately follow occurrences of wind components should be understood to pertain to those components.",element,
BUFR,11,/,/,/,/,/,/,no notes
BUFR,12,n/a,n/a,n/a,1,Separation of single level satellite data into sets of BUFR messages helps compression and results inefficient data transmission and storage.,table,
BUFR,12,n/a,n/a,n/a,2,Each BUFR message may contain data for a number of locations; the BUFR compression technique involves negligible overheads for data items that are invariant.,table,
BUFR,12,n/a,n/a,n/a,3,"Compound BUFR messages may be described within the data description section, if required (e.g. 3 01 041, 3 04 001, 3 04 002, 3 04 003, 3 04 004, 3 04 005, 3 04 006).",table,
BUFR,13,/,/,/,/,/,/,no notes
BUFR,15,315004,001087,(see Note 1),1,"If field 0 01 011 is used, this field will be left missing and vice versa.",element,
BUFR,15,315004,005036,(see Note 2),2,"Integer, assigned by the operator, incremented for each new transect (i.e. all drops have the same transect number while the ship is moving from one end point of the line to the other end point; as soon as the ship arrived to port and goes back to start a new transect then transect number is incremented). The initial value and subsequent values for transect numbers do not matter provided that each new transect by a ship on a line has a transect number higher than previous transect numbers for the same line and the same ship. In case a single cruise follows more than one SOOP line in a row, then the transect number should be incremented each time the cruise changes line.",element,
BUFR,15,315004,002032,(see Note 3),3,"This descriptor applies to the method used to select depths for the temperature profile encoded through 3 15 005. If temperatures are reported at significant depths, the values shall:(a) Be sufficient to reproduce basic features of the profile;(b) Define the top and the bottom of isothermal layers.",element,
BUFR,16,316004,011031,(see Note 1),1,For MOD OCNL SEV code as 12 (extreme in clear air) or 13 (extreme in cloud).,element,
BUFR,16,316006,20011,(see Note 2),2,Code table values: FRQ = code figure 8 (8 oktas) OCNL EMBD = code figure 6 (6 oktas) ISOL = code figure 2 (2 oktas) when the cloud = Cb.,element,
BUFR,16,316007,8011,(see Note 3),3,Front direction (towards which the front is moving) must always be given as it is needed for plotting purposes. A front direction with a front speed of zero would indicate a slow front. A value in the code table exists to represent a quasi-stationary front.,element,
BUFR,16,316008,8023,(see Note 4),4,"The statistic is to determine whether the following tropopause levels are minimum, maximum or spot values (missing code value).",element,
BUFR,16,n/a,n/a,n/a,5,"Decibel (dB) is a logarithmic measure of the relative power, or of the relative values of two flux densities, especially of sound intensities and radio and radar power densities. In radar meteorology, the logarithmic scale (dBZ) is used for measuring radar reflectivity factor (obtained from the American Meteorological Society Glossary of Meteorology).",table,
BUFR,18,/,/,/,/,/,/,no notes
BUFR,21,/,/,/,/,/,/,no notes
BUFR,22,/,/,/,/,/,/,no notes
BUFR,40,340005,n/a,n/a,no id,Descriptor 3 40 010 should be used in preference to 3 40 005.,element,
BUFR,00,n/a,n/a,n/a,1,These entries include the facility to update the Table A code figure and data description.,table,
BUFR,00,300015,000030,n/a,2.3,"Entry 0 00 030 is a descriptor used as data and provides the F, X and Y values defining a sequence for Table D entries.",element,
CREX,00,n/a,n/a,n/a,1,These entries include the facility to update the Table A code figure and data description.,table,
CREX,00,D 00 010,B00030,n/a,2.3,"Entry B 00 030 is a descriptor used as data and provides the F, X and Y values defining a sequence for Table D entries.",element,
CREX,01,D01027,R01000,(see Note 5),5,"This replication factor shall have a value of ""1"" when a 2-D feature is being described, whereas 3-D features may be described via any one of the following methods:(a) Via two or more horizontal sections in successive ascending flight levels. In this case, each section shall be described by an identical number of latitude/longitude points listed in identical order (i.e. where each point x of section n is to be joined via a straight line to point x of section n+1), in order to ensure that the overall shape of the 3-D feature is unambiguously described. In this case, all values reported for B 33 042 shall be ""missing"".(b) Via a single horizontal section with an appropriate value reported for B 33 042, as follows. In all such cases,the corresponding horizontal section description applies throughout the entire region.(i) A value of ""0"" to indicate a region above (but not including) the reported flight level and with unspecified upper bound.(ii) A value of ""1"" to indicate a region above (and including) the reported flight level and with unspecified upper bound.(iii) A value of ""2"" to indicate a region below (but not including) the reported flight level and extending to the surface.(iv) A value of ""3"" to indicate a region below (and including) the reported flight level and extending to the surface.(c) Via two replications of the same horizontal section at the same reported flight level, in order to indicate a region extending both below and above (and including!) the reported flight level. In this case, the values reported for the two replications of B 33 042 shall be as follows:(i) Values of ""3"" and ""1"", respectively, to indicate a region beginning from below a reported flightlevel, but continuing through that level upward to some unspecified point above (e.g. TOP ABVFL100).(ii) Values of ""1"" and ""3"", respectively, to indicate a region beginning from above a reported flightlevel, but continuing through that level downward to some unspecified point below (e.g. CIGSBLW FL010).",element,
BUFR,01,301065,001006,(see Note 10),10,"As supplied by originating sub-centre ARINC, this value is a pseudo-value rather than the actual value. The relationship between this pseudo-value and the true value is known only by ARINC.",element,"note 10 is in the BUFR Table D, 01"
BUFR,01,301065,001008,(see Note 10),10,"As supplied by originating sub-centre ARINC, this value is a pseudo-value rather than the actual value. The relationship between this pseudo-value and the true value is known only by ARINC.",element,"note 10 is in the BUFR Table D, 01"
CREX,02,D02041,B04024,(see Notes 1 and 2),1,"Within RA IV, the maximum temperature at 1200 UTC is reported for the previous calendar day (i.e. the ending time of the period is not equal to the nominal time of the report). To construct the required time range,descriptor 0 04 024 has to be included two times. If the period ends at the nominal time of the report, value of the second 0 04 024 shall be set to 0",element,note is not in manual
CREX,02,D02058,B04024,(see Notes 1 and 2),2,"Within RA III, the maximum daytime temperature and the minimum night-time temperature is reported (i.e. the ending time of the period may not be equal to the nominal time of the report). To construct the required time range, descriptor 0 04 024 has to be included two times. If the period ends at the nominal time of the report,value of the second 0 04 024 shall be set to 0.",element,note is not in manual
CREX,02,D02041,B04024,(see Note 2),2,"Within RA III, the maximum daytime temperature and the minimum night-time temperature is reported (i.e. the ending time of the period may not be equal to the nominal time of the report). To construct the required time range, descriptor 0 04 024 has to be included two times. If the period ends at the nominal time of the report,value of the second 0 04 024 shall be set to 0.",element,note is not in manual
CREX,02,D02046,B04024,(see Note 3),3,"To construct the required time range, descriptor 0 04 024 has to be included two times.",element,note is not in manual
CREX,02,D02058,B04024,(see Notes 1 and 2),1,"Within RA IV, the maximum temperature at 1200 UTC is reported for the previous calendar day (i.e. the ending time of the period is not equal to the nominal time of the report). To construct the required time range,descriptor 0 04 024 has to be included two times. If the period ends at the nominal time of the report, value of the second 0 04 024 shall be set to 0",element,note is not in manual
CREX,02,D02058,B04024,(see Notes 1 and 2),2,"Within RA III, the maximum daytime temperature and the minimum night-time temperature is reported (i.e. the ending time of the period may not be equal to the nominal time of the report). To construct the required time range, descriptor 0 04 024 has to be included two times. If the period ends at the nominal time of the report,value of the second 0 04 024 shall be set to 0.",element,note is not in manual
CREX,02,D02058,B04024,(see Note 2),2,"Within RA III, the maximum daytime temperature and the minimum night-time temperature is reported (i.e. the ending time of the period may not be equal to the nominal time of the report). To construct the required time range, descriptor 0 04 024 has to be included two times. If the period ends at the nominal time of the report,value of the second 0 04 024 shall be set to 0.",element,note is not in manual
CREX,05,/,/,/,/,/,/,no notes
CREX,06,D06019,B04015,(see Note 1),1,Range of value for parameter B 04 015 limited from -99 to 99; CREX common sequence D 06 019 being the original sequence with 2 characters only for the corresponding descriptor.,element,
CREX,07,D07045,B11083,(see Note 1),1,"Within 3 07 045, 3 07 048 and 3 07 053, wind speed shall be reported in the same units as in the original TAC data and:0 11 083 shall be set to missing, if wind speed is reported in knots or m s-1 in TAC data,0 11 084 shall be set to missing, if wind speed is reported in km h-1 or m s-1 in TAC data.",element,not published in manual
CREX,07,D07045,B11084,(see Note 1),1,"Within 3 07 045, 3 07 048 and 3 07 053, wind speed shall be reported in the same units as in the original TAC data and:0 11 083 shall be set to missing, if wind speed is reported in knots or m s-1 in TAC data,0 11 084 shall be set to missing, if wind speed is reported in km h-1 or m s-1 in TAC data.",element,not published in manual
CREX,07,D07045,B11002,(see Note 1),1,"Within 3 07 045, 3 07 048 and 3 07 053, wind speed shall be reported in the same units as in the original TAC data and:0 11 083 shall be set to missing, if wind speed is reported in knots or m s-1 in TAC data,0 11 084 shall be set to missing, if wind speed is reported in km h-1 or m s-1 in TAC data.",element,not published in manual
CREX,07,D07045,B11085,(see Note 2),2,"Within 3 07 045, 3 07 048 and 3 07 053, maximum wind speed (gusts) shall be reported in the same units as in the original TAC data and:0 11 085 shall be set to missing, if maximum wind speed is reported in knots or m s-1 in TAC data,0 11 086 shall be set to missing, if maximum wind speed is reported in km h-1 or m s-1 in TAC data.",element,not published in manual
CREX,07,D07045,B11086,(see Note 2),2,"Within 3 07 045, 3 07 048 and 3 07 053, maximum wind speed (gusts) shall be reported in the same units as in the original TAC data and:0 11 085 shall be set to missing, if maximum wind speed is reported in knots or m s-1 in TAC data,0 11 086 shall be set to missing, if maximum wind speed is reported in km h-1 or m s-1 in TAC data.",element,not published in manual
CREX,07,D07045,B11041,(see Note 2),2,"Within 3 07 045, 3 07 048 and 3 07 053, maximum wind speed (gusts) shall be reported in the same units as in the original TAC data and:0 11 085 shall be set to missing, if maximum wind speed is reported in knots or m s-1 in TAC data,0 11 086 shall be set to missing, if maximum wind speed is reported in km h-1 or m s-1 in TAC data.",element,not published in manual
CREX,07,D07048,B11083,(see Note 5),5,"Within D 07 045, D 07 048 and D 07 053, wind speed shall be reported in the same units as in the original TAC data and:B 11 083 shall be set to missing, if wind speed is reported in knots or m s-1 in TAC data,B 11 084 shall be set to missing, if wind speed is reported in km h-1 or m s-1 in TAC data.",element,
CREX,07,D07048,B11084,(see Note 5),5,"Within D 07 045, D 07 048 and D 07 053, wind speed shall be reported in the same units as in the original TAC data and: B 11 083 shall be set to missing, if wind speed is reported in knots or m s-1 in TAC data, B 11 084 shall be set to missing, if wind speed is reported in km h-1 or m s-1 in TAC data.",element,
CREX,07,D07048,B11002,(see Note 5),5,"Within D 07 045, D 07 048 and D 07 053, wind speed shall be reported in the same units as in the original TAC data and: B 11 083 shall be set to missing, if wind speed is reported in knots or m s-1 in TAC data, B 11 084 shall be set to missing, if wind speed is reported in km h-1 or m s-1 in TAC data.",element,
CREX,07,D07048,B11085,(see Note 6),6,"Within D 07 045, D 07 048 and D 07 053, maximum wind speed (gusts) shall be reported in the same units as in the original TAC data and:B 11 085 shall be set to missing, if maximum wind speed is reported in knots or m s-1 in TAC data,B 11 086 shall be set to missing, if maximum wind speed is reported in km h-1 or m s-1 in TAC data.",element,
CREX,07,D07048,B11086,(see Note 6),6,"Within D 07 045, D 07 048 and D 07 053, maximum wind speed (gusts) shall be reported in the same units as in the original TAC data and:B 11 085 shall be set to missing, if maximum wind speed is reported in knots or m s-1 in TAC data,B 11 086 shall be set to missing, if maximum wind speed is reported in km h-1 or m s-1 in TAC data.",element,
CREX,07,D07048,B11041,(see Note 6),6,"Within D 07 045, D 07 048 and D 07 053, maximum wind speed (gusts) shall be reported in the same units as in the original TAC data and:B 11 085 shall be set to missing, if maximum wind speed is reported in knots or m s-1 in TAC data,B 11 086 shall be set to missing, if maximum wind speed is reported in km h-1 or m s-1 in TAC data.",element,
CREX,07,D07053,B11083,(see Note 1),1,"Within 3 07 045, 3 07 048 and 3 07 053, wind speed shall be reported in the same units as in the original TAC data and:0 11 083 shall be set to missing, if wind speed is reported in knots or m s-1 in TAC data,0 11 084 shall be set to missing, if wind speed is reported in km h-1 or m s-1 in TAC data.",element,not published in manual
CREX,07,D07053,B11084,(see Note 1),1,"Within 3 07 045, 3 07 048 and 3 07 053, wind speed shall be reported in the same units as in the original TAC data and:0 11 083 shall be set to missing, if wind speed is reported in knots or m s-1 in TAC data,0 11 084 shall be set to missing, if wind speed is reported in km h-1 or m s-1 in TAC data.",element,not published in manual
CREX,07,D07053,B11002,(see Note 1),1,"Within 3 07 045, 3 07 048 and 3 07 053, wind speed shall be reported in the same units as in the original TAC data and:0 11 083 shall be set to missing, if wind speed is reported in knots or m s-1 in TAC data,0 11 084 shall be set to missing, if wind speed is reported in km h-1 or m s-1 in TAC data.",element,not published in manual
CREX,07,D07053,B11085,(see Note 2),2,"Within 3 07 045, 3 07 048 and 3 07 053, maximum wind speed (gusts) shall be reported in the same units as in the original TAC data and:0 11 085 shall be set to missing, if maximum wind speed is reported in knots or m s-1 in TAC data,0 11 086 shall be set to missing, if maximum wind speed is reported in km h-1 or m s-1 in TAC data.",element,not published in manual
CREX,07,D07053,B11086,(see Note 2),2,"Within 3 07 045, 3 07 048 and 3 07 053, maximum wind speed (gusts) shall be reported in the same units as in the original TAC data and:0 11 085 shall be set to missing, if maximum wind speed is reported in knots or m s-1 in TAC data,0 11 086 shall be set to missing, if maximum wind speed is reported in km h-1 or m s-1 in TAC data.",element,not published in manual
CREX,07,D07053,B11041,(see Note 2),2,"Within 3 07 045, 3 07 048 and 3 07 053, maximum wind speed (gusts) shall be reported in the same units as in the original TAC data and:0 11 085 shall be set to missing, if maximum wind speed is reported in knots or m s-1 in TAC data,0 11 086 shall be set to missing, if maximum wind speed is reported in km h-1 or m s-1 in TAC data.",element,not published in manual
CREX,07,D07071,D01090,(see Note 3),3,The time identification refers to the beginning of the one-month period.,element,not published in manual
CREX,07,D07071,B04074,(see Note 3),3,The time identification refers to the beginning of the one-month period.,element,not published in manual
CREX,07,D07071,B07032,(see Note 4),4,"If the height of the sensor was changed during the period specified, the value shall be that which existed for the greater part of the period.",element,not published in manual
CREX,07,D07071,B04003,(see Note 5),5,"Within D 07 045, D 07 048 and D 07 053, wind speed shall be reported in the same units as in the original TAC data and: B 11 083 shall be set to missing, if wind speed is reported in knots or m s-1 in TAC data, B 11 084 shall be set to missing, if wind speed is reported in km h-1 or m s-1 in TAC data.",element,
CREX,07,D07071,B04004,(see Note 5),5,"Within D 07 045, D 07 048 and D 07 053, wind speed shall be reported in the same units as in the original TAC data and: B 11 083 shall be set to missing, if wind speed is reported in knots or m s-1 in TAC data, B 11 084 shall be set to missing, if wind speed is reported in km h-1 or m s-1 in TAC data.",element,
CREX,07,D07071,B04023,(see Note 5),5,"Within D 07 045, D 07 048 and D 07 053, wind speed shall be reported in the same units as in the original TAC data and: B 11 083 shall be set to missing, if wind speed is reported in knots or m s-1 in TAC data, B 11 084 shall be set to missing, if wind speed is reported in km h-1 or m s-1 in TAC data.",element,
CREX,07,D07072,B04003,(see Note 3),3,The time identification refers to the beginning of the one-month period.,element,not published in manual
CREX,07,D07072,B04004,(see Note 3),3,The time identification refers to the beginning of the one-month period.,element,not published in manual
CREX,07,D07072,B04074,(see Note 3),3,The time identification refers to the beginning of the one-month period.,element,not published in manual
CREX,07,D07072,B07032,(see Note 4),4,"If the height of the sensor was changed during the period specified, the value shall be that which existed for the greater part of the period.",element,not published in manual
CREX,07,D07072,B04003,(see Note 5),5,"Within D 07 045, D 07 048 and D 07 053, wind speed shall be reported in the same units as in the original TAC data and: B 11 083 shall be set to missing, if wind speed is reported in knots or m s-1 in TAC data, B 11 084 shall be set to missing, if wind speed is reported in km h-1 or m s-1 in TAC data.",element,
CREX,07,D07072,B04004,(see Note 5),5,"Within D 07 045, D 07 048 and D 07 053, wind speed shall be reported in the same units as in the original TAC data and: B 11 083 shall be set to missing, if wind speed is reported in knots or m s-1 in TAC data, B 11 084 shall be set to missing, if wind speed is reported in km h-1 or m s-1 in TAC data.",element,
CREX,07,D07072,B08050,(see Note 6),6,"Within D 07 045, D 07 048 and D 07 053, maximum wind speed (gusts) shall be reported in the same units as in the original TAC data and:B 11 085 shall be set to missing, if maximum wind speed is reported in knots or m s-1 in TAC data,B 11 086 shall be set to missing, if maximum wind speed is reported in km h-1 or m s-1 in TAC data.",element,
CREX,07,D07072,B08020,(see Note 6),6,"Within D 07 045, D 07 048 and D 07 053, maximum wind speed (gusts) shall be reported in the same units as in the original TAC data and:B 11 085 shall be set to missing, if maximum wind speed is reported in knots or m s-1 in TAC data,B 11 086 shall be set to missing, if maximum wind speed is reported in km h-1 or m s-1 in TAC data.",element,
CREX,08,D08011,D01011,(see Note 2),2,The time identification refers to the beginning of the one-month period.,element,manual has no notes
CREX,08,D08011,D01012,(see Note 2),2,The time identification refers to the beginning of the one-month period.,element,manual has no notes
CREX,08,D08011,B07030,(see Note 3),3,"If the height of the sensor was changed during the period specified, the value shall be that which existed for the greater part of the period.",element,manual has no notes
CREX,08,D08011,B07031,(see Note 3),3,"If the height of the sensor was changed during the period specified, the value shall be that which existed for the greater part of the period.",element,manual has no notes
CREX,08,D08011,B04074,(see Note 2),2,The time identification refers to the beginning of the one-month period.,element,manual has no notes
CREX,08,D08011,B07032,(see Note 3),3,"If the height of the sensor was changed during the period specified, the value shall be that which existed for the greater part of the period.",element,manual has no notes
CREX,08,D08011,B07033,(see Note 3),3,"If the height of the sensor was changed during the period specified, the value shall be that which existed for the greater part of the period.",element,manual has no notes
CREX,08,D08011,B04003,(see Note 4),4,"In case of precipitation measurements, the one-month period begins at 06 UTC on the first day of the month and ends at 06 UTC on the first day of the following month.",element,manual has no notes
CREX,08,D08011,B04004,(see Note 4),4,"In case of precipitation measurements, the one-month period begins at 06 UTC on the first day of the month and ends at 06 UTC on the first day of the following month.",element,manual has no notes
CREX,08,D08011,B04023,(see Note 4),4,"In case of precipitation measurements, the one-month period begins at 06 UTC on the first day of the month and ends at 06 UTC on the first day of the following month.",element,manual has no notes
CREX,08,D08012,B04003,(see Note 2),2,The time identification refers to the beginning of the one-month period.,element,manual has no notes
CREX,08,D08012,B04004,(see Note 2),2,The time identification refers to the beginning of the one-month period.,element,manual has no notes
CREX,08,D08012,B04074,(see Note 2),2,The time identification refers to the beginning of the one-month period.,element,manual has no notes
CREX,08,D08012,B07032,(see Note 3),3,"If the height of the sensor was changed during the period specified, the value shall be that which existed for the greater part of the period.",element,manual has no notes
CREX,08,D08012,B07033,(see Note 3),3,"If the height of the sensor was changed during the period specified, the value shall be that which existed for the greater part of the period.",element,manual has no notes
CREX,08,D08012,B04003,(see Note 4),4,"In case of precipitation measurements, the one-month period begins at 06 UTC on the first day of the month and ends at 06 UTC on the first day of the following month.",element,manual has no notes
CREX,08,D08012,B04004,(see Note 4),4,"In case of precipitation measurements, the one-month period begins at 06 UTC on the first day of the month and ends at 06 UTC on the first day of the following month.",element,manual has no notes
CREX,09,D09030,n/a,(see Note 1),1,Sequence D 09 030 is deprecated because of incorrect usage of descriptor B 04 015; sequence D 09 031 should be used instead.,element,
CREX,11,/,/,/,/,/,/,no notes
CREX,15,D15004,B01087,(see Note 1),1,"If field 0 01 011 is used, this field will be left missing and vice versa.",element,notes are not in manual
CREX,15,D15004,B05036,(see Note 2),2,"Integer, assigned by the operator, incremented for each new transect (i.e. all drops have the same transect number while the ship is moving from one end point of the line to the other end point; as soon as the ship arrived to port and goes back to start a new transect then transect number is incremented). The initial value and subsequent values for transect numbers do not matter provided that each new transect by a ship on a line has a transect number higher than previous transect numbers for the same line and the same ship. In case a single cruise follows more than one SOOP line in a row, then the transect number should be incremented each time the cruise changes line.",element,notes are not in manual
CREX,15,D15004,B02032,(see Note 3),3,"This descriptor applies to the method used to select depths for the temperature profile encoded through 3 15 005. If temperatures are reported at significant depths, the values shall:(a) Be sufficient to reproduce basic features of the profile;(b) Define the top and the bottom of isothermal layers.",element,notes are not in manual
CREX,16,D16004,B11031,(see Note 1),1,For MOD OCNL SEV code as 12 (extreme in clear air) or 13 (extreme in cloud).,element,
CREX,16,D16006,B20011,(see Note 2),2,Code table values: FRQ = code figure 8 (8 oktas) OCNL EMBD = code figure 6 (6 oktas) ISOL = code figure 2 (2 oktas) when the cloud = Cb.,element,
CREX,16,D16007,B08011,(see Note 3),3,Front direction (towards which the front is moving) must always be given as it is needed for plotting purposes. A front direction with a front speed of zero would indicate a slow front. A value in the code table exists to represent a quasi-stationary front.,element,
CREX,16,D16008,B08023,(see Note 4),4,"The statistic is to determine whether the following tropopause levels are minimum, maximum or spot values (missing code value).",element,
BUFR,16,n/a,n/a,n/a,5,"Decibel (dB) is a logarithmic measure of the relative power, or of the relative values of two flux densities, especially of sound intensities and radio and radar power densities. In radar meteorology, the logarithmic scale (dBZ) is used for measuring radar reflectivity factor (obtained from the American Meteorological Society Glossary of Meteorology).",table,does this note belong with this table?? 
CREX,16,n/a,n/a,n/a,5,"Decibel (dB) is a logarithmic measure of the relative power, or of the relative values of two flux densities, especially of sound intensities and radio and radar power densities. In radar meteorology, the logarithmic scale (dBZ) is used for measuring radar reflectivity factor (obtained from the American Meteorological Society Glossary of Meteorology).",table,does this note belong with this table?? 
CREX,22,/,/,/,/,/,/,no notes
CREX,35,/,/,/,/,/,/,no notes
